"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","lifeStage","infraspecificEpithet","informationWithheld","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","individualCount","continent","vernacularName","locality","higherClassification","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","institutionKey","collectionKey","institutionID","nomenclaturalCode","higherGeography","endDayOfYear","georeferenceVerificationStatus","language","type","startDayOfYear","accessRights","behavior","elevation","elevationAccuracy","depth","depthAccuracy","sex","recordNumber","habitat","verbatimCoordinateSystem","preparations","georeferencedBy","georeferenceProtocol","georeferenceSources","county","fieldNumber","locationRemarks","organismID","ownerInstitutionCode","datasetID","collectionID","disposition","organismRemarks","created","associatedSequences","dynamicProperties","identificationVerificationStatus","locationAccordingTo","georeferencedDate","otherCatalogNumbers","previousIdentifications","identificationQualifier","download"
"Aotus azarae","3032099503","Aotus azarae (Humboldt, 1812)",-9.598693,-55.932813,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:07:11.293+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2021-01-10T20:25:37",31,"Mato Grosso",2021,1,10,"2021-01-10T07:17:00","2021-01-14T20:56:58.000+00:00","2021-09-08T00:07:11.293+00:00","https://www.inaturalist.org/observations/67869890","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Sidnei Dantas","67869890","siddantas","2021/01/10 7:17 AM -0300","iNaturalist research-grade observations","Alta Floresta - MT, 78580-000, Brasil","Observations","3032099503","https://www.inaturalist.org/observations/67869890","74066","Sidnei Dantas","67869890","https://www.inaturalist.org/observations/67869890","iNaturalist","© Sidnei Dantas some rights reserved","10:17:00Z","Sidnei Dantas","149985961","Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","3330491474","Aotus azarae infulatus (Kuhl, 1820)",-5.767459,-50.391702,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:09:15.618+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707410,1,44,359,798,3239574,2436667,5707409,5707410,"Aotus azarae infulatus (Kuhl, 1820)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SUBSPECIES","ACCEPTED","LC","2021-07-20T23:20:43",31373,"Pará",2021,6,14,"2021-06-14T19:11:00","2021-07-20T23:30:09.000+00:00","2021-09-08T00:09:15.618+00:00","https://www.inaturalist.org/observations/83184218","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Filho Manfredini","83184218","filhomanfredini","2021/06/14 7:11 PM -0300","iNaturalist research-grade observations","Marabá, BR-PA, BR","Observations","3330491474","https://www.inaturalist.org/observations/83184218","148459","Filho Manfredini","83184218","https://www.inaturalist.org/observations/83184218","iNaturalist","© Filho Manfredini some rights reserved","22:11:00Z","Filho Manfredini","192796752","Aotus azarae infulatus (Kuhl, 1820)","Adult","infulatus","Coordinate uncertainty increased to 31373m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","3337491883","Aotus azarae (Humboldt, 1812)",-5.173139,-47.784267,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:06:22.240+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2021-08-09T05:07:04",244,"Maranhão",2021,8,7,"2021-08-07T20:42:00","2021-08-09T14:22:18.000+00:00","2021-09-08T00:06:22.240+00:00","https://www.inaturalist.org/observations/90499960","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Luis Morais","90499960","luix_morais","2021/08/07 8:42 PM -0400","iNaturalist research-grade observations","Cidelândia, MA, 65921-000, Brasil","Observations","3337491883","https://www.inaturalist.org/observations/90499960","74066","Luis Morais","90499960","https://www.inaturalist.org/observations/90499960","iNaturalist","© Luis Morais some rights reserved","00:42:00Z","Luis Morais","197916105","Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","3079755003","Aotus azarae (Humboldt, 1812)",-25.706444,-58.446343,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:21:03.410+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2020-11-03T13:08:24",29936,"Formosa",2020,10,9,"2020-10-09T08:29:40","2021-04-07T16:03:28.000+00:00","2021-09-08T00:21:03.410+00:00","https://www.inaturalist.org/observations/64105415","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR","none","none","Argentina","Leandro Bareiro Guiñazú","64105415","leandrobareiro","2020-10-09 8:29:40 AM GMT-03:00","iNaturalist research-grade observations","Formosa, AR","Observations","3079755003","https://www.inaturalist.org/observations/64105415","74066","Leandro Bareiro Guiñazú","64105415","https://www.inaturalist.org/observations/64105415","iNaturalist","© Leandro Bareiro Guiñazú some rights reserved","11:29:40Z","Leandro Bareiro Guiñazú","139908842","Aotus azarae (Humboldt, 1812)",NA,NA,"Coordinate uncertainty increased to 29936m to protect threatened taxon","Bien observados, eran dos individuos en lo alto de un laurel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2465237353","Aotus azarae (Humboldt, 1812)",-9.555626,-55.921565,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:19:50.873+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2019-11-22T10:57:33",977,"Mato Grosso",2019,11,21,"2019-11-21T21:19:00","2019-11-22T12:20:51.000+00:00","2021-09-08T00:19:50.873+00:00","https://www.inaturalist.org/observations/35944036","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Sidnei Dantas","35944036","siddantas","2019/11/21 9:19 PM -0300","iNaturalist research-grade observations","Cristalino Lodge - Alta Floresta - MT - Brazil","Observations","2465237353","https://www.inaturalist.org/observations/35944036","74066","Sidnei Dantas","35944036","https://www.inaturalist.org/observations/35944036","iNaturalist","© Sidnei Dantas some rights reserved","00:19:00Z","Sidnei Dantas","78542965","Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2634475533","Aotus azarae (Humboldt, 1812)",-26.29681,-58.842229,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:21.601+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2020-05-30T20:37:22",29868,"Formosa",2018,12,7,"2018-12-07T19:57:00","2020-05-31T13:35:12.000+00:00","2021-09-07T23:32:21.601+00:00","https://www.inaturalist.org/observations/47894950","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR","none","none","Argentina","Pablo H Capovilla","47894950","pablohcapovilla","2018/12/07 7:57 PM -0300","iNaturalist research-grade observations","Formosa, AR","Observations","2634475533","https://www.inaturalist.org/observations/47894950","74066","Pablo H Capovilla","47894950","https://www.inaturalist.org/observations/47894950","iNaturalist","© Pablo H Capovilla some rights reserved","22:57:00Z","Pablo H Capovilla","106829430","Aotus azarae (Humboldt, 1812)",NA,NA,"Coordinate uncertainty increased to 29868m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2634576569","Aotus azarae (Humboldt, 1812)",-26.345996,-58.838184,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:56.976+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2020-05-30T20:37:02",29868,"Formosa",2018,12,5,"2018-12-05T17:22:00","2020-05-31T13:35:14.000+00:00","2021-09-07T23:31:56.976+00:00","https://www.inaturalist.org/observations/47894893","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR","none","none","Argentina","Pablo H Capovilla","47894893","pablohcapovilla","2018/12/05 5:22 PM -0300","iNaturalist research-grade observations","Formosa, AR","Observations","2634576569","https://www.inaturalist.org/observations/47894893","74066","Pablo H Capovilla","47894893","https://www.inaturalist.org/observations/47894893","iNaturalist","© Pablo H Capovilla some rights reserved","20:22:00Z","Pablo H Capovilla","106829346","Aotus azarae (Humboldt, 1812)",NA,NA,"Coordinate uncertainty increased to 29868m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","1699375398","Aotus azarae (Humboldt, 1812)",-10.909912,-65.985267,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:43:08.689+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2017-10-28T23:31:32",451,"El Beni",2017,2,27,"2017-02-27T00:00:00","2020-03-01T20:41:03.000+00:00","2021-09-07T23:43:08.689+00:00","https://www.inaturalist.org/observations/8593866","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BO",NA,NA,"Bolivia (Plurinational State of)","Vincent A. Vos","8593866","vincentvosriberalta","2017/02/27 4:59 PM -04","iNaturalist research-grade observations","Aquicuana, Bolivia","Observations","1699375398","https://www.inaturalist.org/observations/8593866","74066","Vincent A. Vos","8593866","https://www.inaturalist.org/observations/8593866","iNaturalist","© Vincent A. Vos some rights reserved",NA,"Vincent A. Vos","18268919","Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,"ORCID","https://orcid.org/0000-0002-0388-8530","ORCID","https://orcid.org/0000-0002-0388-8530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2429192980","Aotus azarae (Humboldt, 1812)",-25.124987,-58.029976,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:53:57.379+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2018-11-04T19:17:30",30003,"Formosa",2017,6,29,"2017-06-29T00:00:00","2021-06-24T20:29:10.000+00:00","2021-09-07T23:53:57.379+00:00","https://www.inaturalist.org/observations/18097710","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR",NA,NA,"Argentina","Michelle Delaloye","18097710","michelledelaloye","2017/06/29 12:29 PM -03","iNaturalist research-grade observations","Formosa, AR","Observations","2429192980","https://www.inaturalist.org/observations/18097710","74066","Michelle Delaloye","18097710","https://www.inaturalist.org/observations/18097710","iNaturalist","© Michelle Delaloye some rights reserved",NA,"Michelle Delaloye","38860983","Aotus azarae (Humboldt, 1812)","Adult",NA,"Coordinate uncertainty increased to 30003m at the request of the observer",NA,"ORCID","https://orcid.org/0000-0002-1034-1269","ORCID","https://orcid.org/0000-0002-1034-1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2597779852","Aotus azarae (Humboldt, 1812)",-17.7756,-63.068904,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:40.457+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2020-04-08T04:36:31",920,"Santa Cruz",2017,6,11,"2017-06-11T00:00:00","2020-04-09T20:40:44.000+00:00","2021-09-07T23:31:40.457+00:00","https://www.inaturalist.org/observations/41666438","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BO","none","none","Bolivia (Plurinational State of)","Hederd Torres García","41666438","hstorres","2017/06/11 3:42 PM UTC","iNaturalist research-grade observations","Villa 1º de Mayo, Santa Cruz de la Sierra, Bolivia","Observations","2597779852","https://www.inaturalist.org/observations/41666438","74066","Hederd Torres García","41666438","https://www.inaturalist.org/observations/41666438","iNaturalist","© Hederd Torres García some rights reserved",NA,"Hederd Torres García","94268828","Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2823423489","Aotus azarae (Humboldt, 1812)",-25.111715,-58.163398,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:03.280+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2020-07-22T20:59:48",30003,"Formosa",2017,6,29,"2017-06-29T12:18:00","2020-07-23T01:53:42.000+00:00","2021-09-07T23:32:03.280+00:00","https://www.inaturalist.org/observations/53990627","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR",NA,NA,"Argentina","Martin Arregui","53990627","martin_arregui","2017/06/29 12:18 PM -0300","iNaturalist research-grade observations","Formosa, AR","Observations","2823423489","https://www.inaturalist.org/observations/53990627","74066","Martin Arregui","53990627","https://www.inaturalist.org/observations/53990627","iNaturalist","© Martin Arregui some rights reserved","15:18:00Z","Martin Arregui","118909388","Aotus azarae (Humboldt, 1812)",NA,NA,"Coordinate uncertainty increased to 30003m to protect threatened taxon",NA,"ORCID","https://orcid.org/0000-0002-8473-8824","ORCID","https://orcid.org/0000-0002-8473-8824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","3302525543","Aotus azarae (Humboldt, 1812)",-25.016244,-58.177531,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:50:36.202+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2021-06-02T15:48:05",30003,"Formosa",2017,6,28,"2017-06-28T18:12:00","2021-06-02T18:19:05.000+00:00","2021-09-07T23:50:36.202+00:00","https://www.inaturalist.org/observations/81313821","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR","none","none","Argentina","Walter Gómez Umpierrez","81313821","walterlir81","2017/06/28 6:12 PM UTC","iNaturalist research-grade observations","Formosa, AR","Observations","3302525543","https://www.inaturalist.org/observations/81313821","74066","Walter Gómez Umpierrez","81313821","https://www.inaturalist.org/observations/81313821","iNaturalist","© Walter Gómez Umpierrez some rights reserved","18:12:00Z","Walter Gómez Umpierrez","179845526","Aotus azarae (Humboldt, 1812)",NA,NA,"Coordinate uncertainty increased to 30003m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","2833007881","Aotus azarae boliviensis Elliot, 1907",-12.799918,-69.298553,"cdround,osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2020-08-19T12:31:07.894+00:00","2021-08-30T10:28:13.433+00:00",80,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707415,1,44,359,798,3239574,2436667,5707409,5707415,"Aotus azarae boliviensis Elliot, 1907","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SUBSPECIES","ACCEPTED","DD",NA,100,NA,2017,8,14,"2017-08-14T00:00:00","2018-02-27T00:00:00.000+00:00","2021-08-30T10:28:13.433+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.143731447","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","Stichting Natuurinformatie","143731447@OBS",NA,NA,NA,NA,"Observations","2833007881","https://observation.org/observation/143731447",NA,NA,"OBS.143731447",NA,NA,NA,NA,NA,NA,"Aotus azarae boliviensis Elliot, 1907","Unknown","boliviensis",NA,NA,NA,NA,NA,NA,2,"SOUTH_AMERICA","Bolivian Night Monkey","Peru - Tambopata","Animalia|NIGHT_MONKEYS_AOTIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus azarae","3079767767","Aotus azarae (Humboldt, 1812)",-25.812171,-57.894364,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:32.262+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC","2020-02-20T15:52:29",2077,"Formosa",2017,9,14,"2017-09-14T15:52:00","2020-04-01T22:38:43.000+00:00","2021-09-07T23:31:32.262+00:00","https://www.inaturalist.org/observations/38903356","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","AR","none","none","Argentina","Leandro Bareiro Guiñazú","38903356","leandrobareiro","2017/09/14 3:52 PM -0300","iNaturalist research-grade observations","Formosa, AR","Observations","3079767767","https://www.inaturalist.org/observations/38903356","74066","Leandro Bareiro Guiñazú","38903356","https://www.inaturalist.org/observations/38903356","iNaturalist","© Leandro Bareiro Guiñazú some rights reserved","18:52:00Z","Leandro Bareiro Guiñazú","87679634","Aotus azarae (Humboldt, 1812)",NA,NA,"Coordinate uncertainty increased to 2077m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
